1937981;;;;;;320.90;0.10;-0.20;18.50
1938031;;;;;;322.00;-0.10;-0.10;18.50
1938081;;;;;;319.00;0.10;0.00;18.50
1938131;;;;;;322.30;0.00;-0.30;18.50
1938182;;;;;;322.60;-0.10;0.00;18.50
1938232;;;;;;320.40;0.20;-0.30;18.50
1938282;;;;;;319.80;-0.20;0.20;18.50
1938332;;;;;;322.00;0.10;0.00;18.40
1938382;;;;;;320.60;0.10;-0.30;18.50
1938432;;;;;;318.40;-0.10;0.30;18.50
1938483;;;;;;320.60;0.00;-0.20;18.50
1938533;;;;;;323.00;0.00;-0.30;18.50
1938583;;;;;;320.60;0.10;0.10;18.50
1938633;;;;;;319.20;0.10;-0.10;18.50
1938683;;;;;;321.40;-0.20;0.20;18.50
1938733;;;;;;321.40;0.10;-0.20;18.50
1938783;;;;;;320.40;0.10;-0.30;18.50
1938833;;;;;;319.20;0.00;0.20;18.50
1938883;;;;;;319.70;0.00;0.00;18.50
1938933;;;;;;322.10;0.10;-0.10;18.50
1938983;;;;;;320.20;0.00;0.30;18.50
1939033;;;;;;320.30;0.00;-0.40;18.50
1939083;;;;;;321.50;-0.10;0.20;18.50
1939133;;;;;;321.80;0.10;-0.10;18.50
1939183;;;;;;319.20;0.10;-0.20;18.50
1939233;;;;;;319.60;0.00;0.20;18.50
1939283;;;;;;322.80;0.10;-0.20;18.50
1939333;;;;;;321.40;-0.10;0.10;18.50
1939383;;;;;;317.90;0.00;0.20;18.50
1939433;;;;;;321.50;-0.10;-0.30;18.50
1939483;;;;;;321.20;0.00;0.20;18.60
1939533;;;;;;320.50;-0.10;-0.10;18.50
1939583;;;;;;319.60;0.00;-0.30;18.50
1939633;;;;;;320.30;-0.10;0.10;18.50
1939683;;;;;;321.30;0.10;-0.50;18.50
1939733;;;;;;318.00;0.00;0.30;18.50
1939783;;;;;;321.90;-0.10;-0.20;18.50
1939833;;;;;;321.50;0.10;-0.30;18.50
1939883;;;;;;317.20;-0.10;0.30;18.50
1939933;;;;;;320.00;0.00;-0.10;18.50
1939983;;;;;;319.10;-0.10;0.10;18.50
1940033;;;;;;319.00;0.10;-0.20;18.50
1940083;;;;;;320.40;-0.20;0.20;18.50
1940133;;;;;;319.00;0.10;-0.20;18.50
1940183;;;;;;321.70;0.10;-0.40;18.60
1940232;;;;;;319.90;0.00;0.00;18.60
1940281;;;;;;318.50;0.10;-0.30;18.50
1940331;;;;;;320.60;-0.20;0.00;18.60
1940381;;;;;;318.90;-0.10;-0.30;18.60
1940432;;;;;;321.20;0.00;-0.30;18.60
1940482;;;;;;321.40;0.00;-0.20;18.50
1940532;;;;;;318.70;-0.20;-0.10;18.50
1940582;;;;;;320.70;0.00;0.00;18.50
1940632;;;;;;319.90;0.10;-0.10;18.50
1940682;;;;;;317.40;-0.20;0.10;18.50
1940732;;;;;;321.60;0.00;-0.30;18.50
1940782;;;;;;317.80;-0.20;0.10;18.50
1940832;;;;;;321.70;0.10;-0.20;18.50
1940883;;;;;;319.90;-0.10;-0.10;18.50
1940933;;;;;;321.00;0.10;-0.10;18.50
1940983;;;;;;321.20;-0.10;0.00;18.50
1941033;;;;;;319.60;-0.10;0.10;18.50
1941083;;;;;;322.10;0.00;-0.10;18.50
1941133;;;;;;319.00;0.00;0.10;18.50
1941183;;;;;;322.00;-0.10;-0.30;18.50
1941233;;;;;;319.60;-0.10;0.20;18.50
1941283;;;;;;320.50;0.20;-0.30;18.50
1941333;;;;;;320.70;-0.20;0.00;18.50
1941383;;;;;;319.70;0.20;-0.20;18.50
1941433;;;;;;321.70;0.00;0.00;18.50
1941483;;;;;;319.50;0.00;0.10;18.50
1941533;;;;;;320.60;0.00;0.00;18.40
1941583;;;;;;321.80;0.20;-0.10;18.40
1941633;;;;;;319.70;0.00;-0.10;18.40
1941683;;;;;;320.30;-0.30;0.40;18.50
1941733;;;;;;322.90;0.20;-0.20;18.40
1941783;;;;;;319.00;-0.10;0.00;18.50
1941833;;;;;;320.00;0.20;0.10;18.50
1941883;;;;;;322.20;-0.30;-0.10;18.40
1941933;;;;;;319.30;-0.10;0.10;18.50
1941983;;;;;;321.80;0.00;-0.20;18.40
1942034;;;;;;322.00;0.00;-0.10;18.50
1942084;;;;;;319.40;0.30;-0.20;18.40
1942134;;;;;;320.30;0.00;0.10;18.40
1942184;;;;;;320.90;0.20;-0.20;18.40
1942234;;;;;;319.70;0.00;-0.20;18.50
1942284;;;;;;321.50;0.10;0.30;18.40
